Ticker,Appearances,Average_Beat_By
AMGN,5,12.251999999999999
ANET,4,20.68
TJX,4,12.317499999999999
APH,4,4.452500000000001
ADBE,3,23.05
ETN,3,20.56
CB,3,20.38333333333333
BKNG,3,16.606666666666666
UNH,3,15.506666666666668
GOOG,3,15.33
LOW,3,11.893333333333333
HON,3,10.536666666666667
PEP,3,7.176666666666667
C,3,5.733333333333333
KO,3,4.343333333333334
CRM,2,31.65
PG,2,23.225
COST,2,23.205
GE,2,22.43
MCD,2,20.81
CRWD,2,19.235
PLTR,2,18.95
ABT,2,16.45
DIS,2,14.95
AMD,2,14.625
AXP,2,13.954999999999998
UNP,2,12.969999999999999
DHR,2,12.184999999999999
HD,2,11.31
VRTX,2,10.375
PGR,2,10.295
ORCL,2,8.39
KLAC,2,8.1
CMCSA,2,7.05
SYK,2,6.444999999999999
INTU,2,6.17
GOOGL,2,0.785
XOM,1,47.04
SNPS,1,47.04
BLK,1,47.04
KKR,1,47.04
COP,1,40.83
NFLX,1,40.83
ISRG,1,40.83
WELL,1,39.49
MRK,1,39.49
MS,1,32.61
TSLA,1,32.61
META,1,32.61
TMUS,1,29.13
VZ,1,23.98
AMAT,1,23.98
MDT,1,15.43
WMT,1,11.81
V,1,11.2
CVX,1,9.01
TXN,1,8.94
ACN,1,8.94
BAC,1,8.94
SPGI,1,8.57
ABBV,1,8.57
T,1,6.55
MU,1,5.58
NVDA,1,5.37
NOW,1,5.37
JPM,1,4.43
MSFT,1,4.43
MA,1,3.77
LIN,1,1.69
COF,1,1.69
LRCX,1,1.1
IBM,1,1.1
AAPL,1,0.47
